Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
AFMM_3_057	Extraction	methanol with partial internal standards		AFMM_3_057	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_057		Data transformation	AFMM_3_057	FILES/DERIVED_FILES/20220623_P244_AFMM_3_057.mzML	Metabolite identification	AFMM_3_057	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_071	Extraction	methanol with partial internal standards		AFMM_3_071	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_071		Data transformation	AFMM_3_071	FILES/DERIVED_FILES/20220623_P244_AFMM_3_071.mzML	Metabolite identification	AFMM_3_071	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_073	Extraction	methanol with partial internal standards		AFMM_3_073	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_073		Data transformation	AFMM_3_073	FILES/DERIVED_FILES/20220623_P244_AFMM_3_073.mzML	Metabolite identification	AFMM_3_073	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_095	Extraction	methanol with partial internal standards		AFMM_3_095	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_095		Data transformation	AFMM_3_095	FILES/DERIVED_FILES/20220623_P244_AFMM_3_095.mzML	Metabolite identification	AFMM_3_095	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_101	Extraction	methanol with partial internal standards		AFMM_3_101	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_101		Data transformation	AFMM_3_101	FILES/DERIVED_FILES/20220623_P244_AFMM_3_101.mzML	Metabolite identification	AFMM_3_101	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_103	Extraction	methanol with partial internal standards		AFMM_3_103	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_103		Data transformation	AFMM_3_103	FILES/DERIVED_FILES/20220623_P244_AFMM_3_103.mzML	Metabolite identification	AFMM_3_103	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_105	Extraction	methanol with partial internal standards		AFMM_3_105	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_105		Data transformation	AFMM_3_105	FILES/DERIVED_FILES/20220623_P244_AFMM_3_105.mzML	Metabolite identification	AFMM_3_105	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_107	Extraction	methanol with partial internal standards		AFMM_3_107	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_107		Data transformation	AFMM_3_107	FILES/DERIVED_FILES/20220623_P244_AFMM_3_107.mzML	Metabolite identification	AFMM_3_107	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_06	Extraction	methanol with partial internal standards		AFMM_FSY_1_06	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_06		Data transformation	AFMM_FSY_1_06	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_06.mzML	Metabolite identification	AFMM_FSY_1_06	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_10	Extraction	methanol with partial internal standards		AFMM_FSY_1_10	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_10		Data transformation	AFMM_FSY_1_10	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_10.mzML	Metabolite identification	AFMM_FSY_1_10	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_12	Extraction	methanol with partial internal standards		AFMM_FSY_1_12	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_12		Data transformation	AFMM_FSY_1_12	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_12.mzML	Metabolite identification	AFMM_FSY_1_12	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_14	Extraction	methanol with partial internal standards		AFMM_FSY_1_14	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_14		Data transformation	AFMM_FSY_1_14	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_14.mzML	Metabolite identification	AFMM_FSY_1_14	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_19	Extraction	methanol with partial internal standards		AFMM_FSY_1_19	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_19		Data transformation	AFMM_FSY_1_19	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_19.mzML	Metabolite identification	AFMM_FSY_1_19	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_20	Extraction	methanol with partial internal standards		AFMM_FSY_1_20	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_20		Data transformation	AFMM_FSY_1_20	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_20.mzML	Metabolite identification	AFMM_FSY_1_20	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_21	Extraction	methanol with partial internal standards		AFMM_FSY_1_21	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_21		Data transformation	AFMM_FSY_1_21	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_21.mzML	Metabolite identification	AFMM_FSY_1_21	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_23	Extraction	methanol with partial internal standards		AFMM_FSY_1_23	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_23		Data transformation	AFMM_FSY_1_23	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_23.mzML	Metabolite identification	AFMM_FSY_1_23	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_35	Extraction	methanol with partial internal standards		AFMM_FSY_1_35	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_35		Data transformation	AFMM_FSY_1_35	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_1_35.mzML	Metabolite identification	AFMM_FSY_1_35	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_3_08	Extraction	methanol with partial internal standards		AFMM_FSY_3_08	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_3_08		Data transformation	AFMM_FSY_3_08	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_3_08.mzML	Metabolite identification	AFMM_FSY_3_08	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_3_09	Extraction	methanol with partial internal standards		AFMM_FSY_3_09	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_3_09		Data transformation	AFMM_FSY_3_09	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_3_09.mzML	Metabolite identification	AFMM_FSY_3_09	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_3_38	Extraction	methanol with partial internal standards		AFMM_FSY_3_38	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_3_38		Data transformation	AFMM_FSY_3_38	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_3_38.mzML	Metabolite identification	AFMM_FSY_3_38	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_3_41	Extraction	methanol with partial internal standards		AFMM_FSY_3_41	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_3_41		Data transformation	AFMM_FSY_3_41	FILES/DERIVED_FILES/20220623_P244_AFMM_FSY_3_41.mzML	Metabolite identification	AFMM_FSY_3_41	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_LNK_01	Extraction	methanol with partial internal standards		AFMM_LNK_01	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_LNK_01		Data transformation	AFMM_LNK_01	FILES/DERIVED_FILES/20220623_P244_AFMM_LNK_01.mzML	Metabolite identification	AFMM_LNK_01	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_LNK_02	Extraction	methanol with partial internal standards		AFMM_LNK_02	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_LNK_02		Data transformation	AFMM_LNK_02	FILES/DERIVED_FILES/20220623_P244_AFMM_LNK_02.mzML	Metabolite identification	AFMM_LNK_02	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_LNK_04	Extraction	methanol with partial internal standards		AFMM_LNK_04	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_LNK_04		Data transformation	AFMM_LNK_04	FILES/DERIVED_FILES/20220623_P244_AFMM_LNK_04.mzML	Metabolite identification	AFMM_LNK_04	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
